chain_clean,year,avg_rating,review_vol,neg_share,AvgLikes,VarRating,revenue,cp_index,income_pop,FemaleShare,avg_sentiment,search_index
магнит косметик,2024.0,4.500866551126516,1154,0.0632582322357019,1.4696707105719238,1.271898641325996,240.0,107.21,107.3,0.5353,0.10275501554798357,26.0
подружка,2015.0,4.0,91,0.0989010989010989,11.087912087912088,1.7333333333333334,21.8,112.9,97.6,0.5367,0.03477403265009066,28.75
подружка,2016.0,3.4408602150537635,279,0.2831541218637993,2.6989247311827955,3.1754467393826857,24.7,105.4,95.5,0.5366,0.04386894960530336,35.0
подружка,2017.0,3.5833333333333335,36,0.16666666666666666,2.0833333333333335,2.307142857142858,22.7,105.27,99.5,0.5364,0.05771675370712356,48.333333333333336
подружка,2018.0,3.527027027027027,74,0.21621621621621623,9.013513513513514,2.554054054054054,18.4,101.62,100.7,0.5361,0.04350232789886361,62.75
подружка,2019.0,3.9849624060150375,133,0.09022556390977443,7.556390977443609,1.7724994303941677,18.9,104.98,101.2,0.5359,0.07231317874211611,74.75
подружка,2020.0,4.183962264150943,212,0.08490566037735849,4.023584905660377,1.6484619511758907,19.6,102.29,98.0,0.5358,0.06545290607203283,65.75
подружка,2021.0,4.242603550295858,338,0.09171597633136094,3.0828402366863905,1.590820501114954,21.8,106.1,103.3,0.5355,0.06684581286553995,54.75
подружка,2022.0,4.185909980430528,511,0.11545988258317025,3.203522504892368,1.8732128467825486,24.8,110.0,104.5,0.5349,0.05669244837560848,46.75
подружка,2023.0,4.256257449344457,839,0.10965435041716329,2.728247914183552,1.830435141277973,19.4,111.15,106.1,0.5352,0.06116860763155173,39.25
подружка,2024.0,4.006802721088436,1029,0.1749271137026239,3.1671525753158405,2.454233833611265,24.8,107.21,107.3,0.5353,0.056172929889476086,35.833333333333336
рив гош,2015.0,3.0303030303030303,99,0.36363636363636365,8.232323232323232,3.05009276437848,38.0,112.9,97.6,0.5367,0.01497867121036276,36.0
рив гош,2016.0,3.180327868852459,244,0.3442622950819672,2.6024590163934427,3.2677595628415292,40.0,105.4,95.5,0.5366,0.02303170258366604,36.333333333333336
рив гош,2017.0,3.0393518518518516,432,0.3888888888888889,1.4976851851851851,3.4068005070035245,39.0,105.27,99.5,0.5364,0.024863572317738128,40.916666666666664
рив гош,2018.0,3.1055718475073313,341,0.3519061583577713,2.689149560117302,3.2358806279109893,37.0,101.62,100.7,0.5361,0.03094824862497361,42.25
рив гош,2019.0,3.512461059190031,642,0.2570093457943925,3.70404984423676,2.905460704409489,36.8,104.98,101.2,0.5359,0.04993950521068642,43.25
рив гош,2020.0,3.888888888888889,666,0.15765765765765766,4.5675675675675675,2.3184628237259792,36.0,102.29,98.0,0.5358,0.05852067083578908,40.583333333333336
рив гош,2021.0,3.6279949558638083,793,0.2408575031525851,4.310214375788147,2.8147203434088666,35.56,106.1,103.3,0.5355,0.050131756697781936,36.333333333333336
рив гош,2022.0,3.9122137404580153,1572,0.17938931297709923,2.866412213740458,2.478603116602932,35.12,110.0,104.5,0.5349,0.05230700375630424,29.666666666666668
рив гош,2023.0,3.934754098360656,3050,0.179672131147541,2.3544262295081966,2.497873422621765,35.0,111.15,106.1,0.5352,0.05702606021160874,25.833333333333332
рив гош,2024.0,3.5278323510150624,3054,0.27210216110019647,1.5222658808120497,3.06686349497665,37.4,107.21,107.3,0.5353,0.04576090029753841,20.833333333333332
улыбка радуги,2015.0,4.1891891891891895,74,0.08108108108108109,3.8378378378378377,1.634950018511662,14.9,112.9,97.6,0.5367,0.053130109947658585,2.8333333333333335
улыбка радуги,2016.0,4.210045662100456,219,0.1278538812785388,2.8310502283105023,1.9006325667127466,17.6,105.4,95.5,0.5366,0.07566586308965557,3.5833333333333335
улыбка радуги,2017.0,4.508021390374331,187,0.053475935828877004,2.229946524064171,1.2190213328733255,25.0,105.27,99.5,0.5364,0.06619781851778428,5.0
улыбка радуги,2018.0,4.407894736842105,380,0.06315789473684211,3.636842105263158,1.329225107623942,24.7,101.62,100.7,0.5361,0.10137829872281517,7.166666666666667
улыбка радуги,2019.0,4.455816910362365,1573,0.040686586141131596,5.144945963127781,0.9861191318512617,23.5,104.98,101.2,0.5359,0.09558385582843597,9.5
улыбка радуги,2020.0,4.487994589110585,2957,0.031112614135948596,3.9719310111599593,0.8561650229747717,20.1,102.29,98.0,0.5358,0.1000689025198535,11.083333333333334
улыбка радуги,2021.0,4.548321464903357,3932,0.03382502543234995,3.0061037639877926,0.8689440146701524,23.2,106.1,103.3,0.5355,0.09955308792506036,10.0
улыбка радуги,2022.0,4.4763058696822835,3714,0.05735056542810985,3.0360796984383414,1.1560503411074683,27.7,110.0,104.5,0.5349,0.09730327426522462,10.166666666666666
улыбка радуги,2023.0,4.602260609938154,4689,0.03305608871827682,2.6478993388782257,0.8428361854809396,36.0,111.15,106.1,0.5352,0.09526868255665998,8.75
улыбка радуги,2024.0,4.574433214968588,3661,0.0518983884184649,2.0199399071291997,1.0281330461532985,56.6,107.21,107.3,0.5353,0.09033370434504934,9.083333333333334
